Circuit,circuitRef,Circuit_fixed,Current,Type,Direction,Location,Country,Last length used,Grands Prix,Season(s),Grands Prix held
Caesars Palace Grand Prix Circuit,ceasars,Caesars Palace Grand Prix Circuit,0,Street circuit,Anti-clockwise,Paradise, United States,3.650 km (2.268 mi),Caesars Palace Grand Prix,1981–1982,2
Dallas Fair Park,dallas,Dallas Fair Park,0,Street circuit,Anti-clockwise,Dallas, United States,3.901 km (2.424 mi),Dallas Grand Prix,1984,1
Detroit Street Circuit,detroit,Detroit Street Circuit,0,Street circuit,Anti-clockwise,Detroit, United States,4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7
Indianapolis Motor Speedway,indianapolis,Indianapolis Motor Speedway,0,Race circuit,Anti-clockwise,Speedway, United States,4.023 km (2.500 mi),Indianapolis 500[b],1950–1960,11
Long Beach Street Circuit,long_beach,Long Beach Street Circuit,0,Street circuit,Clockwise,Long Beach, United States,3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8
Miami International Autodrome ✔,miami,Miami International Autodrome,1,Street circuit,Anti-clockwise,Miami Gardens, United States,5.412 km (3.363 mi),Miami Grand Prix,2022–2023,2
Phoenix Street Circuit,phoenix,Phoenix Street Circuit,0,Street circuit,Anti-clockwise,Phoenix, United States,3.720 km (2.312 mi),United States Grand Prix,1989–1991,3
Riverside International Raceway,riverside,Riverside International Raceway,0,Race circuit,Clockwise,Moreno Valley, United States,5.271 km (3.275 mi),United States Grand Prix,1960,1
Sebring Raceway,sebring,Sebring Raceway,0,Road circuit,Clockwise,Sebring, United States,8.356 km (5.192 mi),United States Grand Prix,1959,1
Las Vegas Strip Circuit ✔,vegas,Las Vegas Strip Circuit,1,Street circuit,Anti-clockwise,Paradise, United States,6.120 km (3.803 mi),Las Vegas Grand Prix,2023[11],0
Watkins Glen International,watkins_glen,Watkins Glen International,0,Race circuit,Clockwise,Watkins Glen, United States,5.430 km (3.374 mi),United States Grand Prix,1961–1980,20
